start_date, end_date, line
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14
2012-10-27 05:00:00.000,2012-10-27 23:59:59.000,14B
2012-10-27 05:00:00.000,2012-10-27 23:59:59.000,14B
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14B
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,2
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,2
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,3
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,3
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,3B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,3B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,3G
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,3G
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,5
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,5
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,6
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,6
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,7
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,7
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,8
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,8
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,9
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,9
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,11
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,11
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,11
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,11
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,13
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,13
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,14
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,14
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,14B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,14B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,19I
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,19I
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,19B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,19B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,20
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,20
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,25
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,25
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,27
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,27
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,1B
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,1B
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,1
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,1
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,2
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,2
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,3
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,3
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,3G
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,3G
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,5
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,5
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,6
2012-10-28 08:00:00.000,2012-10-28 16:00:00.000,6
